fish_id,qPCR_screened,sample_type,pre_post,date_capture,hold_id,tank,focal,sequenced,fate,date_necropsy,days_in_study,lesions_post,fork_length_cm_post,girth_cm_post,sex,stock_origin,fl_psy_copy,mo_vis_copy,pisck_sal_copy,re_sal_copy,rlo_copy,te_dic,te_fin,te_mar,vi_sal,te_dic_detect,te_mar_detect
59766,Y,swab,pre,2022-08-09,Aug9,19,N,N,end_hold,2022-08-21,12,0,69,39,male,SARITA_RIVER,0,  0.00,  0.00,0.00,0.00,      0.03,  0.00,     5.42,0.00,NA,Y
59776,Y,swab,pre,2022-08-09,Aug9,20,N,N,end_hold,2022-08-21,12,0,38,18,female,GREEN_RIVER,6.50116558842248,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     5.01,0.00,NA,Y
59778,Y,gill,pre,2022-08-11,Aug9,18,N,N,end_hold,2022-08-22,11,1,39,20,female,ABERNATHY_RIVER,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59778,Y,swab,post,2022-08-11,Aug9,18,N,N,end_hold,2022-08-22,11,1,39,20,female,ABERNATHY_RIVER,0,  0.00,  0.00,0.00,0.00,   4525.88,  0.03,  2952.96,0.00,NA,Y
59785,Y,gill,pre,2022-08-09,Aug9,21,N,N,end_hold,2022-08-22,13,0,40,19,female,SOOS_CREEK,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59785,Y,gill,post,2022-08-09,Aug9,21,N,N,end_hold,2022-08-22,13,0,40,19,female,SOOS_CREEK,0,  0.00,  0.00,0.00,0.00,      7.79,  0.00,     0.00,0.00,NA,N
59785,Y,swab,pre,2022-08-09,Aug9,21,N,N,end_hold,2022-08-22,13,0,40,19,female,SOOS_CREEK,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59791,Y,gill,pre,2022-08-09,Aug9,20,Y,N,euthanized,2022-08-14,5,1,36,19,male,SOOS_CREEK,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59791,Y,gill,post,2022-08-09,Aug9,20,Y,N,euthanized,2022-08-14,5,1,36,19,male,SOOS_CREEK,10.7585575745581,  0.00,  0.00,0.00,0.00,   8450.25,  0.00,     0.00,0.00,NA,N
59791,Y,kidney,post,2022-08-09,Aug9,20,Y,N,euthanized,2022-08-14,5,1,36,19,male,SOOS_CREEK,0,  0.00,  0.00,0.00,0.00,    741.80,  0.00,     0.00,0.00,NA,N
59791,Y,liver,post,2022-08-09,Aug9,20,Y,N,euthanized,2022-08-14,5,1,36,19,male,SOOS_CREEK,0,  0.00,  0.00,0.00,0.00,     22.30,  0.00,     0.00,0.00,NA,N
